Anio;Trimestre;Provincia;Accesos por cada 100 hogares;Dia;Mes
2015;4;Misiones;28.68665889;1;11
2015;4;Neuquén;58.28933777;1;11
2015;4;Río Negro;46.43948111;1;11
2015;4;Salta;31.59349265;1;11
2015;4;San Juan;27.66485394;1;11
2015;4;San Luis;9.705768985;1;11
2015;4;Santa Cruz;27.74476907;1;11
2015;4;Santa Fe;52.60808979;1;11
2015;4;Santiago Del Estero;17.00497804;1;11
2015;4;Tierra Del Fuego;66.46220434;1;11
2015;4;Tucumán;37.06217328;1;11
2015;3;Buenos Aires;57.68868106;1;8
2015;3;Capital Federal;118.2892112;1;8
2015;3;Catamarca;25.86378118;1;8
2015;3;Chaco;27.96307279;1;8
2015;3;Chubut;36.81180991;1;8
2015;3;Córdoba;57.08340379;1;8
2015;3;Corrientes;30.16741241;1;8
2015;3;Entre Ríos;43.67718164;1;8
2015;3;Formosa;18.83675177;1;8
2015;3;Jujuy;21.27033335;1;8
2015;3;La Pampa;57.96395975;1;8
2015;3;La Rioja;17.15112944;1;8
2015;3;Mendoza;32.49199583;1;8
2015;3;Misiones;28.30634509;1;8
2015;3;Neuquén;54.5993149;1;8
2015;3;Río Negro;46.38918666;1;8
2015;3;Salta;31.17594521;1;8
2015;3;San Juan;27.66538566;1;8
2015;3;San Luis;9.706503269;1;8
2015;3;Santa Cruz;27.60606098;1;8
2015;3;Santa Fe;52.14595474;1;8
